firstName,lastName,regionFN,languageFN,languageLN,nationality,genderFN,genderF,genderM,averageHeightForCountryMetricCM,STDHeightForCountryMetricCM,sexual_orientation,age,visual_impairment,handedness,heightCM
Nsonowa,Obeng,Africa,Akan,," Ghana, Ivory Coast and Togo",w,1,0,158.5,7.11,,30,,Left handed,166
Elba,Figueroa,South America,Spanish,Spanish,Argentina,w,1,0,161.2,7.11,,43,,,169
Asal,Banerjee,Central Asia,Arabic/Persian/Punjabi/Urdu/Bengali,,Bangladesh,w,1,0,150.3,7.11,,16,,,153
Flor,Teodoro,South America,Spanish/Portuguese,Portuguese,Bolivia,w,1,0,155.6,7.11,idk,3,,,161
Gergana,Mateeva,Europe,Bulgarian,w,Bulgaria,w,1,0,164.6,7.11,,7,,,158
Caleb,Garret,Europe,"English, Biblical",,Canada,m,0,1,178.7,7.42,,83,,,193
Martin,Fay,Europe,"English, French, German, Swedish, Norwegian, Danish, Estonian, Russian, Romanian, Czech, Slovak, Slovene, Croatian, Serbian, Hungarian, Bulgarian, Macedonian, Finnish",English/French,Canada,m,0,1,178.7,7.42,,28,,,181
Eustaquia,Rosario,South America,spanish,Spanish,Chile,w,1,0,159.4,7.11,idk,45,,,164
Wei,Chia,East Asia,Chinese,,China: Guangdong,w,1,0,163.5,7.11,Asexual,18,,,154
Yáng ,Lam,East Asia,Chinese,,China: Heibei,m,0,1,175.7,7.42,,7,,,191
Yin,Ng,East Asia,Chinese,,China: heilongjiang,m,0,1,175.7,7.42,,33,,,171
Xin,Du,East Asia,Chinese,,China: Hunan,w,1,0,163.5,7.11,,33,,,156
Guiying,Liang,East Asia,Chinese,,China: Jiangxi,m,0,1,175.7,7.42,Bisexual,1,,,179
Ru,Chen,East Asia,Chinese,,China: Shandong,w,1,0,163.5,7.11,,44,,,164
Tāo ,Jiang,East Asia,Chinese,,China: Shanghai,w,1,0,163.5,7.11,,56,,,182
Shun,Lu,East Asia,Chinese,,China: Zhejiang,m,0,1,175.7,7.42,,20,,Left handed,184
Abilio,Pascual,South America,Spanish,Spanish,Colombia,m,0,1,171.9,7.42,Other,5,,,162
Nazaret,Contreras,South America,Spanish/ Armenian,Spanish,Costa Rica,w,1,0,160.4,7.11,Bisexual,15,,,155
Stefan,Sörensen,Europe,"German, Dutch, Swedish, Norwegian, Danish, English, Biblical, Biblical Latin",,Denmark,m,0,1,181.9,7.42,,11,,,170
Yesenia,Benítez,South America,Spanish,Spanish,Ecuador,w,1,0,155.2,7.11,,14,,,156
José,Rivas,South America,Spanish (Americanized/ Filipinized),Spanish,EL Salvador,w,1,0,156.4,7.11,Bisexual,43,,,159
Delilah,Alden,Europe,English,,England,w,1,0,163.9,7.11,Gay/Lesbian,6,,,162
﻿Eustache,Olivier,Europe,French,,France,m,0,1,178.6,7.42,,56,,,184
Jordane,Dufour,Europe,French,,France,m,0,1,178.6,7.42,,18,,,179
Jennah,Babineaux,Europe,French,,France,w,1,0,164.5,7.11,,56,,,179
Ernesto,Rodriquez,South America,Spanish (Latin American/ Modern)/ Portuguese (Brazilian/ Modern),Spanish,Honduras,m,0,1,169.6,7.42,,14,,,159
Viraj,Chaudhari,Central Asia,Marathai/Gujarati,Marathi/Gujarati,India: Gujarat,m,0,1,166.5,7.42,idk,68,,,177
Akash,Sharma,Central Asia,Hindi/Marathi/Bengali,Hindi/ Marathi/ Bengali/ Assamese/ Gujarati/ Telugu/ Kannada/ Malayalam/ Tamil/ Nepali,India: Madhya Pradesh,m,0,1,166.5,7.42,,72,,,174
Rani,Joshi,Central Asia,Hindi/Marathi/odia,Hindi/Marathi/Gujarati/Nepali,India: Maharashtra,w,1,0,155.2,7.11,,14,,,158
Tapan,Gupta,Central Asia,bengali/odia/assamese,,India: Odisha,m,0,1,166.5,7.42,,42,,,164
Subramaniam,Iyer,Central Asia,Tamil ,"Tamil (Brahmin caste, Iyer subcaste)",India:Tamilnadu,m,0,1,166.5,7.42,Asexual,17,,,183
Zulfikar,Bayu,South East Asia,Arabic/ Urdu/ Indonesian,,Indonesia,m,0,1,166.3,7.42,,32,,,168
Faiz,Tan,South East Asia,Arabic/Malay/Indonesian,,Indonesia,m,0,1,166.3,7.42,,7,,,155
 Junaidi,Surya,South East Asia,Indonesian,,Indonesia,m,0,1,166.3,7.42,Gay/Lesbian,45,,,163
Cinta,Baskoro,South East Asia,Indonesian,,Indonesia,w,1,0,154.4,7.11,,20,,,140
Dwi,Gunadi,South East Asia,Indonesian,,Indonesia,w,1,0,154.4,7.11,,67,Glasses/Contacts,,156
Aqil,Khan,Central Asia,Arabic/urdu,Urdu/Pashto/Bengali,Iran,m,0,1,175.6,7.42,Gay/Lesbian,0,,,167
Reza,Afshari,Central Asia,Persian/Indonesian/Bengali,"Persian, Urdu, Bengali",Iran,m,0,1,175.6,7.42,,10,,,177
Shahnaz,Jamshidi,Central Asia,persian/Arabic/Urdu,Persian,Iran,w,1,0,161.2,7.11,,72,,Left handed,161
Nadia,Jassim,Central Asia,Arabic/urdu/bengali/indonesian/malay,,Iraq,w,1,0,161.2,7.11,idk,63,,,159
Miguel,Aiza,Europe,Italian ,,Italy,m,0,1,174.4,7.42,,15,,,170
Maura,Abano,Europe,Irish/English/Italian/Spanish/Protuguese/Late Roman,,Italy,w,1,0,161.8,7.11,,76,,,156
Angiola,Nardi,Europe,Italian,,Italy,w,1,0,161.8,7.11,Pansexual,37,,,166
Lucia,Romano,Europe,Italian/ German/ Dutch/ English/ Swedish/ Norwegian/ Danish/ Romanian/ Slovak/ Ancient Roman,,Italy,w,1,0,161.8,7.11,Gay/Lesbian,1,,,163
Toshirō,Katō,East Asia,Japanese,,Japan: Chubu,m,0,1,172.1,7.42,,48,,,164
Hiroko,Nagasawa,East Asia,Japanese,,Japan: Chubu,w,1,0,158.5,7.11,,55,,,170
Keita,Hagihara,East Asia,Japanese,,Japan: Chugoku,m,0,1,172.1,7.42,,32,,,172
Jun'ichi,Kishimoto,East Asia,Japanese,,Japan: Hokkaido,m,0,1,172.1,7.42,,61,,,172
Kazuki,Aikawa,East Asia,Japanese,,Japan: Kansai,m,0,1,172.1,7.42,,30,Glasses/Contacts,,165
Tsuneo,Miura,East Asia,Japanese,,Japan: Kansai,m,0,1,172.1,7.42,,25,,,162
Nobuyuki,Ikeda,East Asia,Japanese,,Japan: Kanto,m,0,1,172.1,7.42,idk,0,,,169
Nobuko,Seki,East Asia,Japanese,,Japan: Kanto,w,1,0,158.5,7.11,,45,,,158
Noa,Okazaki,East Asia,Japanese,,Japan: Kyushu,w,1,0,158.5,7.11,Bisexual,72,,,150
Aoi,Hiramatsu,East Asia,Japanese,,Japan: Shikoku,w,1,0,158.5,7.11,,10,Glasses/Contacts,,158
Ema,Mochizuki,East Asia,Japanese,,Japan: Tohoku,w,1,0,158.5,7.11,,43,,,177
Talib,Abbassi,Central Asia,Arabic/Urdu,,Jordan,m,0,1,174.8,7.42,idk,14,,Left handed,163
Aisha,Kadyrova,Central Asia,Arabic/Urdu/Hausa/Swahili/Kazakh/African American,Kazakh,Kasakhstan,w,1,0,161.7,7.11,,65,,,163
Aysultan,Kadyrov,Central Asia,Kazakh,"Kyrgyz,Kazakh,Chechen",Kazakhstan,m,0,1,175.5,7.42,,57,,Left handed,177
Mumbi,Anyango,Africa,Kikuyu,,Kenya,w,1,0,159.4,7.11,,4,,,162
Jadvyga,Petrauskaitė,Europe,Lithuanian,unmarried woman,Lithuania,w,1,0,167.6,7.11,,82,,,158
Faris,Lai,South East Asia,Arabic/ Bosnian/ Malay/ Indonesian,,Malaysia,m,0,1,169.2,7.42,,63,,,183
Cahaya,Nuraini,South East Asia,Indonesian/Malay,,Malaysia,w,1,0,157.1,7.11,,35,,,151
Maimunah,Setiawan,South East Asia,Malay/Indonesian,,Malaysia,w,1,0,157.1,7.11,,23,,,153
Mahamadou,Keïta,Africa,Western African,,Mali,m,0,1,171.3,7.42,idk,1,,,172
Guus,Van Herten,Europe,Dutch,,Netherlands,m,0,1,183.8,7.42,Bisexual,51,,,191
Íñigo,Quixano,South America,spanish,Spanish,Nicaragua,m,0,1,169.9,7.42,,37,Glasses/Contacts,,159
Faɗimatu,Ibrahim,Africa,Hausa,,"Nigeria, Niger",w,1,0,157.8,7.11,,7,,,158
Rebekka,Næss,Europe,German/ Danish/ Norwegian/ Icelandic/ Faroese/ Finnish/ Dutch (Rare),,Norway,w,1,0,166.4,7.11,,40,,,164
Qamar,Mustafa,Central Asia,Arabic/Urdu,,Pakistan,w,1,0,154.8,7.11,idk,77,,,155
Hugo,Salcedo,South America,Spanish/ Portuguese/ English/ Dutch/ German/ French/ Swedish/ Norwegian/ Danish/ Finnish/ Germanic [1],Spanish,Panama,m ,0,0,170.2,7.42,,0,,,185
Bruno,Araya,South America,German/ Italian/ Spanish/ Portuguese/ French/ Croatian/ Polish/ Czech/ Slovak/ Latvian/ Germanic [1],Spanish,Paraguay,m,0,1,173.8,7.42,,21,,,193
Leandro,Trujillo,South America,Spanish/ Portuguese/ Italian,Spanish,Peru,m,0,1,166.8,7.42,,56,,,167
Piotr,Jagoda,Europe,Polish/Belarusian,Polish,Poland,m,0,1,180.7,7.42,idk,20,,,173
